#    T [K]            N         DOS(Ef)           S             s/t               R_H        kappa0         c                 chi         Ef
  410.0000     -0.00006458  0.14070459E+00 -0.15511446E-03  0.23514435E+18 -0.75156129E-06  0.26666186E+14  0.41680215E-01  0.21005989E-11  0.40043345E+00
  420.0000     -0.00006458  0.15350585E+00 -0.13877874E-03  0.26135838E+18 -0.62302876E-06  0.30035053E+14  0.45894786E-01  0.22917108E-11  0.40038149E+00
  430.0000     -0.00006458  0.16725247E+00 -0.12455887E-03  0.29012471E+18 -0.51861775E-06  0.33719293E+14  0.50360194E-01  0.24969361E-11  0.40033958E+00
  440.0000     -0.00006458  0.18190837E+00 -0.11223466E-03  0.32148937E+18 -0.43381583E-06  0.37729893E+14  0.55071313E-01  0.27157361E-11  0.40030632E+00
  450.0000     -0.00006458  0.19744087E+00 -0.10158226E-03  0.35549973E+18 -0.36482231E-06  0.42078086E+14  0.60023721E-01  0.29476230E-11  0.40028047E+00
  460.0000     -0.00006458  0.21382028E+00 -0.92389202E-04  0.39220427E+18 -0.30852079E-06  0.46775316E+14  0.65213581E-01  0.31921535E-11  0.40026098E+00
  470.0000     -0.00006458  0.23101938E+00 -0.84461794E-04  0.43165220E+18 -0.26239749E-06  0.51833201E+14  0.70637517E-01  0.34489214E-11  0.40024694E+00
  480.0000     -0.00006458  0.24901300E+00 -0.77627901E-04  0.47389300E+18 -0.22444409E-06  0.57263492E+14  0.76292516E-01  0.37175508E-11  0.40023756E+00
  490.0000     -0.00006458  0.26777759E+00 -0.71736972E-04  0.51897602E+18 -0.19306402E-06  0.63078024E+14  0.82175839E-01  0.39976900E-11  0.40023219E+00
  500.0000     -0.00006458  0.28729093E+00 -0.66658674E-04  0.56695010E+18 -0.16699034E-06  0.69288687E+14  0.88284962E-01  0.42890073E-11  0.40023027E+00
  510.0000     -0.00006458  0.30753183E+00 -0.62280893E-04  0.61786327E+18 -0.14521733E-06  0.75907388E+14  0.94617515E-01  0.45911866E-11  0.40023132E+00
  520.0000     -0.00006458  0.32847999E+00 -0.58507532E-04  0.67176249E+18 -0.12694516E-06  0.82946023E+14  0.10117125E+00  0.49039247E-11  0.40023492E+00
  530.0000     -0.00006458  0.35011580E+00 -0.55256378E-04  0.72869345E+18 -0.11153589E-06  0.90416456E+14  0.10794401E+00  0.52269289E-11  0.40024072E+00
  540.0000     -0.00006458  0.37242026E+00 -0.52457120E-04  0.78870043E+18 -0.98478871E-07  0.98330497E+14  0.11493372E+00  0.55599153E-11  0.40024843E+00
  550.0000     -0.00006458  0.39537484E+00 -0.50049605E-04  0.85182616E+18 -0.87363703E-07  0.10669989E+15  0.12213832E+00  0.59026075E-11  0.40025778E+00
  560.0000     -0.00006458  0.41896147E+00 -0.47982306E-04  0.91811176E+18 -0.77859118E-07  0.11553628E+15  0.12955585E+00  0.62547358E-11  0.40026856E+00
  570.0000     -0.00006458  0.44316249E+00 -0.46211021E-04  0.98759667E+18 -0.69696524E-07  0.12485125E+15  0.13718433E+00  0.66160362E-11  0.40028057E+00
  580.0000     -0.00006458  0.46796057E+00 -0.44697752E-04  0.10603186E+19 -0.62657160E-07  0.13465623E+15  0.14502186E+00  0.69862502E-11  0.40029365E+00
  590.0000     -0.00006458  0.49333874E+00 -0.43409771E-04  0.11363137E+19 -0.56562034E-07  0.14496258E+15  0.15306654E+00  0.73651246E-11  0.40030764E+00
  600.0000     -0.00006458  0.51928036E+00 -0.42318821E-04  0.12156161E+19 -0.51264035E-07  0.15578153E+15  0.16131652E+00  0.77524107E-11  0.40032244E+00
  610.0000     -0.00006458  0.54576910E+00 -0.41400450E-04  0.12982583E+19 -0.46641722E-07  0.16712417E+15  0.16976994E+00  0.81478650E-11  0.40033792E+00
  620.0000     -0.00006458  0.57278895E+00 -0.40633449E-04  0.13842714E+19 -0.42594408E-07  0.17900148E+15  0.17842502E+00  0.85512482E-11  0.40035400E+00
  630.0000     -0.00006458  0.60032421E+00 -0.39999377E-04  0.14736844E+19 -0.39038264E-07  0.19142430E+15  0.18727997E+00  0.89623260E-11  0.40037059E+00
  640.0000     -0.00006458  0.62835948E+00 -0.39482162E-04  0.15665248E+19 -0.35903209E-07  0.20440333E+15  0.19633304E+00  0.93808685E-11  0.40038761E+00
  650.0000     -0.00006458  0.65687967E+00 -0.39067769E-04  0.16628186E+19 -0.33130428E-07  0.21794917E+15  0.20558254E+00  0.98066506E-11  0.40040501E+00
  660.0000     -0.00006458  0.68587001E+00 -0.38743909E-04  0.17625901E+19 -0.30670371E-07  0.23207224E+15  0.21502677E+00  0.10239452E-10  0.40042273E+00
  670.0000     -0.00006458  0.71531604E+00 -0.38499803E-04  0.18658619E+19 -0.28481139E-07  0.24678286E+15  0.22466409E+00  0.10679056E-10  0.40044072E+00
  680.0000     -0.00006458  0.74520360E+00 -0.38325976E-04  0.19726555E+19 -0.26527177E-07  0.26209118E+15  0.23449291E+00  0.11125251E-10  0.40045893E+00
  690.0000     -0.00006458  0.77551884E+00 -0.38214083E-04  0.20829906E+19 -0.24778213E-07  0.27800724E+15  0.24451164E+00  0.11577832E-10  0.40047734E+00
  700.0000     -0.00006458  0.80624824E+00 -0.38156760E-04  0.21968855E+19 -0.23208387E-07  0.29454094E+15  0.25471878E+00  0.12036595E-10  0.40049589E+00
  710.0000     -0.00006458  0.83737858E+00 -0.38147500E-04  0.23143573E+19 -0.21795537E-07  0.31170204E+15  0.26511282E+00  0.12501345E-10  0.40051457E+00
  720.0000     -0.00006458  0.86889695E+00 -0.38180541E-04  0.24354215E+19 -0.20520614E-07  0.32950017E+15  0.27569232E+00  0.12971887E-10  0.40053335E+00
  730.0000     -0.00006458  0.90079076E+00 -0.38250773E-04  0.25600927E+19 -0.19367194E-07  0.34794483E+15  0.28645589E+00  0.13448034E-10  0.40055221E+00
  740.0000     -0.00006458  0.93304770E+00 -0.38353662E-04  0.26883839E+19 -0.18321081E-07  0.36704538E+15  0.29740216E+00  0.13929603E-10  0.40057112E+00
  750.0000     -0.00006458  0.96565582E+00 -0.38485173E-04  0.28203070E+19 -0.17369966E-07  0.38681107E+15  0.30852983E+00  0.14416414E-10  0.40059007E+00
  760.0000     -0.00006458  0.99860342E+00 -0.38641718E-04  0.29558727E+19 -0.16503153E-07  0.40725101E+15  0.31983762E+00  0.14908293E-10  0.40060905E+00
  770.0000     -0.00006458  0.10318791E+01 -0.38820097E-04  0.30950907E+19 -0.15711319E-07  0.42837418E+15  0.33132431E+00  0.15405071E-10  0.40062803E+00
  780.0000     -0.00006458  0.10654719E+01 -0.39017459E-04  0.32379695E+19 -0.14986324E-07  0.45018946E+15  0.34298872E+00  0.15906582E-10  0.40064701E+00
  790.0000     -0.00006458  0.10993709E+01 -0.39231257E-04  0.33845166E+19 -0.14321037E-07  0.47270558E+15  0.35482972E+00  0.16412665E-10  0.40066597E+00
  800.0000     -0.00006458  0.11335656E+01 -0.39459218E-04  0.35347384E+19 -0.13709204E-07  0.49593117E+15  0.36684621E+00  0.16923163E-10  0.40068491E+00
  810.0000     -0.00006458  0.11680459E+01 -0.39699307E-04  0.36886406E+19 -0.13145322E-07  0.51987474E+15  0.37903716E+00  0.17437925E-10  0.40070382E+00
  820.0000     -0.00006458  0.12028019E+01 -0.39949708E-04  0.38462277E+19 -0.12624541E-07  0.54454468E+15  0.39140155E+00  0.17956801E-10  0.40072269E+00
  830.0000     -0.00006458  0.12378238E+01 -0.40208795E-04  0.40075034E+19 -0.12142578E-07  0.56994926E+15  0.40393843E+00  0.18479649E-10  0.40074152E+00
  840.0000     -0.00006458  0.12731024E+01 -0.40475114E-04  0.41724705E+19 -0.11695643E-07  0.59609666E+15  0.41664689E+00  0.19006328E-10  0.40076029E+00
  850.0000     -0.00006458  0.13086285E+01 -0.40747364E-04  0.43411311E+19 -0.11280374E-07  0.62299492E+15  0.42952605E+00  0.19536702E-10  0.40077901E+00
  860.0000     -0.00006458  0.13443933E+01 -0.41024382E-04  0.45134864E+19 -0.10893787E-07  0.65065201E+15  0.44257509E+00  0.20070639E-10  0.40079768E+00
  870.0000     -0.00006458  0.13803882E+01 -0.41305127E-04  0.46895368E+19 -0.10533222E-07  0.67907576E+15  0.45579320E+00  0.20608012E-10  0.40081628E+00
  880.0000     -0.00006458  0.14166049E+01 -0.41588670E-04  0.48692823E+19 -0.10196310E-07  0.70827392E+15  0.46917963E+00  0.21148697E-10  0.40083482E+00
  890.0000     -0.00006458  0.14530353E+01 -0.41874179E-04  0.50527217E+19 -0.98809348E-08  0.73825412E+15  0.48273369E+00  0.21692571E-10  0.40085330E+00
  900.0000     -0.00006458  0.14896715E+01 -0.42160914E-04  0.52398536E+19 -0.95852021E-08  0.76902389E+15  0.49645467E+00  0.22239520E-10  0.40087171E+00
  910.0000     -0.00006458  0.15265061E+01 -0.42448215E-04  0.54306756E+19 -0.93074146E-08  0.80059067E+15  0.51034196E+00  0.22789428E-10  0.40089004E+00
  920.0000     -0.00006458  0.15635316E+01 -0.42735492E-04  0.56251851E+19 -0.90460488E-08  0.83296180E+15  0.52439494E+00  0.23342187E-10  0.40090831E+00
  930.0000     -0.00006458  0.16007409E+01 -0.43022223E-04  0.58233784E+19 -0.87997346E-08  0.86614452E+15  0.53861305E+00  0.23897690E-10  0.40092651E+00
  940.0000     -0.00006458  0.16381271E+01 -0.43307945E-04  0.60252518E+19 -0.85672383E-08  0.90014598E+15  0.55299574E+00  0.24455834E-10  0.40094464E+00
  950.0000     -0.00006458  0.16756835E+01 -0.43592247E-04  0.62308007E+19 -0.83474474E-08  0.93497324E+15  0.56754251E+00  0.25016518E-10  0.40096270E+00
  960.0000     -0.00006458  0.17134035E+01 -0.43874767E-04  0.64400200E+19 -0.81393569E-08  0.97063324E+15  0.58225290E+00  0.25579647E-10  0.40098069E+00
  970.0000     -0.00006458  0.17512810E+01 -0.44155186E-04  0.66529045E+19 -0.79420577E-08  0.10071329E+16  0.59712644E+00  0.26145125E-10  0.40099861E+00
  980.0000     -0.00006458  0.17893099E+01 -0.44433226E-04  0.68694480E+19 -0.77547262E-08  0.10444789E+16  0.61216274E+00  0.26712863E-10  0.40101646E+00
  990.0000     -0.00006458  0.18274842E+01 -0.44708643E-04  0.70896443E+19 -0.75766155E-08  0.10826780E+16  0.62736139E+00  0.27282772E-10  0.40103424E+00
 1000.0000     -0.00006458  0.18657982E+01 -0.44981225E-04  0.73134866E+19 -0.74070470E-08  0.11217368E+16  0.64272203E+00  0.27854769E-10  0.40105195E+00
 1010.0000     -0.00006458  0.19042465E+01 -0.45250791E-04  0.75409677E+19 -0.72454033E-08  0.11616618E+16  0.65824434E+00  0.28428769E-10  0.40106960E+00
 1020.0000     -0.00006458  0.19428238E+01 -0.45517186E-04  0.77720802E+19 -0.70911222E-08  0.12024594E+16  0.67392798E+00  0.29004694E-10  0.40108718E+00
 1030.0000     -0.00006458  0.19815248E+01 -0.45780277E-04  0.80068160E+19 -0.69436907E-08  0.12441360E+16  0.68977267E+00  0.29582467E-10  0.40110469E+00
 1040.0000     -0.00006458  0.20203446E+01 -0.46039954E-04  0.82451671E+19 -0.68026406E-08  0.12866978E+16  0.70577813E+00  0.30162014E-10  0.40112215E+00
 1050.0000     -0.00006458  0.20592785E+01 -0.46296128E-04  0.84871248E+19 -0.66675435E-08  0.13301510E+16  0.72194413E+00  0.30743263E-10  0.40113954E+00
 1060.0000     -0.00006458  0.20983216E+01 -0.46548725E-04  0.87326802E+19 -0.65380073E-08  0.13745017E+16  0.73827041E+00  0.31326143E-10  0.40115687E+00
 1070.0000     -0.00006458  0.21374696E+01 -0.46797689E-04  0.89818244E+19 -0.64136724E-08  0.14197558E+16  0.75475677E+00  0.31910589E-10  0.40117414E+00
 1080.0000     -0.00006458  0.21767180E+01 -0.47042977E-04  0.92345478E+19 -0.62942088E-08  0.14659194E+16  0.77140302E+00  0.32496535E-10  0.40119135E+00
 1090.0000     -0.00006458  0.22160628E+01 -0.47284560E-04  0.94908408E+19 -0.61793134E-08  0.15129983E+16  0.78820896E+00  0.33083918E-10  0.40120851E+00
 1100.0000     -0.00006458  0.22554997E+01 -0.47522421E-04  0.97506934E+19 -0.60687070E-08  0.15609981E+16  0.80517444E+00  0.33672678E-10  0.40122561E+00
 1110.0000     -0.00006458  0.22950250E+01 -0.47756553E-04  0.10014096E+20 -0.59621325E-08  0.16099247E+16  0.82229930E+00  0.34262757E-10  0.40124266E+00
 1120.0000     -0.00006458  0.23346348E+01 -0.47986958E-04  0.10281037E+20 -0.58593529E-08  0.16597836E+16  0.83958340E+00  0.34854097E-10  0.40125966E+00
 1130.0000     -0.00006458  0.23743255E+01 -0.48213647E-04  0.10551507E+20 -0.57601494E-08  0.17105802E+16  0.85702661E+00  0.35446645E-10  0.40127661E+00
 1140.0000     -0.00006458  0.24140935E+01 -0.48436640E-04  0.10825495E+20 -0.56643194E-08  0.17623201E+16  0.87462882E+00  0.36040348E-10  0.40129351E+00
 1150.0000     -0.00006458  0.24539355E+01 -0.48655960E-04  0.11102990E+20 -0.55716758E-08  0.18150087E+16  0.89238991E+00  0.36635155E-10  0.40131037E+00
 1160.0000     -0.00006458  0.24938482E+01 -0.48871641E-04  0.11383981E+20 -0.54820449E-08  0.18686511E+16  0.91030980E+00  0.37231017E-10  0.40132718E+00
 1170.0000     -0.00006458  0.25338284E+01 -0.49083720E-04  0.11668456E+20 -0.53952659E-08  0.19232526E+16  0.92838840E+00  0.37827886E-10  0.40134395E+00
 1180.0000     -0.00006458  0.25738730E+01 -0.49292237E-04  0.11956404E+20 -0.53111893E-08  0.19788184E+16  0.94662561E+00  0.38425718E-10  0.40136067E+00
 1190.0000     -0.00006458  0.26139791E+01 -0.49497238E-04  0.12247814E+20 -0.52296761E-08  0.20353534E+16  0.96502138E+00  0.39024468E-10  0.40137736E+00
 1200.0000     -0.00006458  0.26541439E+01 -0.49698775E-04  0.12542674E+20 -0.51505971E-08  0.20928627E+16  0.98357563E+00  0.39624094E-10  0.40139401E+00
 
   10.0000      0.00774969  0.64318659E+01  0.10314472E-04  0.86995875E+19  0.36751802E-07  0.22575511E+13  0.60015352E-02  0.96022246E-10  0.38483409E+00
   20.0000      0.00774969  0.66331636E+01  0.17239175E-04  0.88988494E+19  0.34486956E-07  0.43835274E+13  0.11595875E-01  0.99027449E-10  0.38483775E+00
   30.0000      0.00774969  0.66464426E+01  0.23233408E-04  0.89042057E+19  0.33287612E-07  0.65704014E+13  0.17234014E-01  0.99225692E-10  0.38484248E+00
   40.0000      0.00774969  0.66380863E+01  0.29624349E-04  0.88968164E+19  0.32725775E-07  0.87912936E+13  0.22803327E-01  0.99100940E-10  0.38484850E+00
   50.0000      0.00774969  0.66221684E+01  0.36399072E-04  0.88869953E+19  0.32479655E-07  0.11061911E+14  0.28244828E-01  0.98863299E-10  0.38485606E+00
   60.0000      0.00774969  0.66007160E+01  0.43335946E-04  0.88762677E+19  0.32381283E-07  0.13400173E+14  0.33495081E-01  0.98543033E-10  0.38486538E+00
   70.0000      0.00774969  0.65738304E+01  0.50284575E-04  0.88650651E+19  0.32351299E-07  0.15824638E+14  0.38494486E-01  0.98141654E-10  0.38487666E+00
   80.0000      0.00774969  0.65411475E+01  0.57153513E-04  0.88534082E+19  0.32352792E-07  0.18355442E+14  0.43209261E-01  0.97653726E-10  0.38489006E+00
   90.0000      0.00774969  0.65023562E+01  0.63887044E-04  0.88411994E+19  0.32368589E-07  0.21012576E+14  0.47637245E-01  0.97074605E-10  0.38490574E+00
  100.0000      0.00774969  0.64573827E+01  0.70451596E-04  0.88283612E+19  0.32390719E-07  0.23813999E+14  0.51801913E-01  0.96403191E-10  0.38492385E+00
  110.0000      0.00774969  0.64064094E+01  0.76827939E-04  0.88148718E+19  0.32415508E-07  0.26774615E+14  0.55742773E-01  0.95642202E-10  0.38494449E+00
  120.0000      0.00774969  0.63498246E+01  0.83006399E-04  0.88007563E+19  0.32441273E-07  0.29906040E+14  0.59506712E-01  0.94797440E-10  0.38496777E+00
  130.0000      0.00774969  0.62881562E+01  0.88983753E-04  0.87860684E+19  0.32467249E-07  0.33216824E+14  0.63141755E-01  0.93876784E-10  0.38499376E+00
  140.0000      0.00774969  0.62220107E+01  0.94761137E-04  0.87708751E+19  0.32493085E-07  0.36712867E+14  0.66693159E-01  0.92889288E-10  0.38502249E+00
  150.0000      0.00774969  0.61520242E+01  0.10034259E-03  0.87552469E+19  0.32518615E-07  0.40397878E+14  0.70201316E-01  0.91844449E-10  0.38505401E+00
  160.0000      0.00774969  0.60788284E+01  0.10573404E-03  0.87392525E+19  0.32543753E-07  0.44273809E+14  0.73700880E-01  0.90751699E-10  0.38508833E+00
  170.0000      0.00774969  0.60030270E+01  0.11094256E-03  0.87229557E+19  0.32568449E-07  0.48341227E+14  0.77220648E-01  0.89620049E-10  0.38512543E+00
  180.0000      0.00774969  0.59251817E+01  0.11597588E-03  0.87064145E+19  0.32592673E-07  0.52599625E+14  0.80783882E-01  0.88457886E-10  0.38516531E+00
  190.0000      0.00774969  0.58458046E+01  0.12084201E-03  0.86896803E+19  0.32616400E-07  0.57047675E+14  0.84408859E-01  0.87272854E-10  0.38520796E+00
  200.0000      0.00774969  0.57653551E+01  0.12554898E-03  0.86727988E+19  0.32639613E-07  0.61683432E+14  0.88109499E-01  0.86071812E-10  0.38525333E+00
  210.0000      0.00774969  0.56842401E+01  0.13010469E-03  0.86558099E+19  0.32662298E-07  0.66504493E+14  0.91896010E-01  0.84860834E-10  0.38530140E+00
  220.0000      0.00774969  0.56028160E+01  0.13451681E-03  0.86387481E+19  0.32684445E-07  0.71508130E+14  0.95775490E-01  0.83645241E-10  0.38535212E+00
  230.0000      0.00774969  0.55213919E+01  0.13879268E-03  0.86216435E+19  0.32706045E-07  0.76691391E+14  0.99752488E-01  0.82429650E-10  0.38540547E+00
  240.0000      0.00774969  0.54402338E+01  0.14293931E-03  0.86045222E+19  0.32727092E-07  0.82051183E+14  0.10382948E+00  0.81218029E-10  0.38546140E+00
  250.0000      0.00774969  0.53595683E+01  0.14696331E-03  0.85874063E+19  0.32747582E-07  0.87584340E+14  0.10800731E+00  0.80013762E-10  0.38551986E+00
  260.0000      0.00774969  0.52795871E+01  0.15087093E-03  0.85703153E+19  0.32767510E-07  0.93287674E+14  0.11228552E+00  0.78819711E-10  0.38558081E+00
  270.0000      0.00774969  0.52004506E+01  0.15466804E-03  0.85532656E+19  0.32786869E-07  0.99158026E+14  0.11666269E+00  0.77638271E-10  0.38564421E+00
  280.0000      0.00774969  0.51222919E+01  0.15836014E-03  0.85362717E+19  0.32805655E-07  0.10519230E+15  0.12113668E+00  0.76471429E-10  0.38571001E+00
  290.0000      0.00774969  0.50452202E+01  0.16195236E-03  0.85193461E+19  0.32823858E-07  0.11138750E+15  0.12570487E+00  0.75320815E-10  0.38577817E+00
  300.0000      0.00774969  0.49693240E+01  0.16544951E-03  0.85025000E+19  0.32841467E-07  0.11774076E+15  0.13036428E+00  0.74187748E-10  0.38584865E+00
  310.0000      0.00774969  0.48946734E+01  0.16885604E-03  0.84857433E+19  0.32858465E-07  0.12424936E+15  0.13511180E+00  0.73073280E-10  0.38592139E+00
  320.0000      0.00774969  0.48213235E+01  0.17217607E-03  0.84690854E+19  0.32874831E-07  0.13091079E+15  0.13994425E+00  0.71978229E-10  0.38599637E+00
  330.0000      0.00774969  0.47493159E+01  0.17541342E-03  0.84525350E+19  0.32890537E-07  0.13772272E+15  0.14485850E+00  0.70903217E-10  0.38607354E+00
  340.0000      0.00774969  0.46786810E+01  0.17857159E-03  0.84361007E+19  0.32905548E-07  0.14468306E+15  0.14985158E+00  0.69848698E-10  0.38615286E+00
  350.0000      0.00774969  0.46094396E+01  0.18165380E-03  0.84197913E+19  0.32919819E-07  0.15178998E+15  0.15492069E+00  0.68814983E-10  0.38623428E+00
  360.0000      0.00774969  0.45416045E+01  0.18466296E-03  0.84036160E+19  0.32933296E-07  0.15904193E+15  0.16006330E+00  0.67802263E-10  0.38631778E+00
  370.0000      0.00774969  0.44751819E+01  0.18760170E-03  0.83875845E+19  0.32945911E-07  0.16643766E+15  0.16527717E+00  0.66810631E-10  0.38640330E+00
  380.0000      0.00774969  0.44101725E+01  0.19047235E-03  0.83717077E+19  0.32957584E-07  0.17397625E+15  0.17056039E+00  0.65840096E-10  0.38649082E+00
  390.0000      0.00774969  0.43465724E+01  0.19327699E-03  0.83559975E+19  0.32968220E-07  0.18165711E+15  0.17591137E+00  0.64890602E-10  0.38658030E+00
  400.0000      0.00774969  0.42843743E+01  0.19601739E-03  0.83404674E+19  0.32977707E-07  0.18948005E+15  0.18132891E+00  0.63962037E-10  0.38667170E+00
  410.0000      0.00774969  0.42235679E+01  0.19869506E-03  0.83251324E+19  0.32985915E-07  0.19744525E+15  0.18681216E+00  0.63054249E-10  0.38676498E+00
  420.0000      0.00774969  0.41641407E+01  0.20131123E-03  0.83100096E+19  0.32992692E-07  0.20555333E+15  0.19236066E+00  0.62167052E-10  0.38686011E+00
  430.0000      0.00774969  0.41060789E+01  0.20386684E-03  0.82951182E+19  0.32997867E-07  0.21380534E+15  0.19797431E+00  0.61300239E-10  0.38695705E+00
  440.0000      0.00774969  0.40493672E+01  0.20636256E-03  0.82804798E+19  0.33001244E-07  0.22220278E+15  0.20365339E+00  0.60453583E-10  0.38705577E+00
  450.0000      0.00774969  0.39939901E+01  0.20879877E-03  0.82661188E+19  0.33002601E-07  0.23074764E+15  0.20939855E+00  0.59626849E-10  0.38715623E+00
  460.0000      0.00774969  0.39399314E+01  0.21117557E-03  0.82520621E+19  0.33001692E-07  0.23944241E+15  0.21521077E+00  0.58819799E-10  0.38725840E+00
  470.0000      0.00774969  0.38871751E+01  0.21349277E-03  0.82383399E+19  0.32998239E-07  0.24829012E+15  0.22109140E+00  0.58032194E-10  0.38736223E+00
  480.0000      0.00774969  0.38357055E+01  0.21574990E-03  0.82249856E+19  0.32991936E-07  0.25729432E+15  0.22704209E+00  0.57263797E-10  0.38746771E+00
  490.0000      0.00774969  0.37855074E+01  0.21794621E-03  0.82120359E+19  0.32982445E-07  0.26645911E+15  0.23306484E+00  0.56514382E-10  0.38757478E+00
  500.0000      0.00774969  0.37365662E+01  0.22008064E-03  0.81995314E+19  0.32969397E-07  0.27578919E+15  0.23916192E+00  0.55783731E-10  0.38768341E+00
  510.0000      0.00774969  0.36888681E+01  0.22215185E-03  0.81875162E+19  0.32952388E-07  0.28528983E+15  0.24533590E+00  0.55071639E-10  0.38779356E+00
  520.0000      0.00774969  0.36424004E+01  0.22415822E-03  0.81760384E+19  0.32930979E-07  0.29496690E+15  0.25158958E+00  0.54377917E-10  0.38790520E+00
  530.0000      0.00774969  0.35971514E+01  0.22609785E-03  0.81651503E+19  0.32904697E-07  0.30482690E+15  0.25792605E+00  0.53702388E-10  0.38801828E+00
  540.0000      0.00774969  0.35531105E+01  0.22796852E-03  0.81549082E+19  0.32873034E-07  0.31487693E+15  0.26434859E+00  0.53044895E-10  0.38813277E+00
  550.0000      0.00774969  0.35102683E+01  0.22976778E-03  0.81453728E+19  0.32835445E-07  0.32512475E+15  0.27086071E+00  0.52405298E-10  0.38824863E+00
  560.0000      0.00774969  0.34686166E+01  0.23149289E-03  0.81366093E+19  0.32791352E-07  0.33557872E+15  0.27746607E+00  0.51783473E-10  0.38836580E+00
  570.0000      0.00774969  0.34281483E+01  0.23314083E-03  0.81286870E+19  0.32740142E-07  0.34624789E+15  0.28416853E+00  0.51179317E-10  0.38848425E+00
  580.0000      0.00774969  0.33888578E+01  0.23470834E-03  0.81216801E+19  0.32681170E-07  0.35714189E+15  0.29097209E+00  0.50592744E-10  0.38860393E+00
  590.0000      0.00774969  0.33507405E+01  0.23619194E-03  0.81156671E+19  0.32613759E-07  0.36827106E+15  0.29788086E+00  0.50023685E-10  0.38872480E+00
  600.0000      0.00774969  0.33137930E+01  0.23758791E-03  0.81107310E+19  0.32537205E-07  0.37964632E+15  0.30489907E+00  0.49472090E-10  0.38884680E+00
  610.0000      0.00774969  0.32780130E+01  0.23889231E-03  0.81069594E+19  0.32450778E-07  0.39127927E+15  0.31203102E+00  0.48937925E-10  0.38896988E+00
  620.0000      0.00774969  0.32433994E+01  0.24010103E-03  0.81044443E+19  0.32353727E-07  0.40318210E+15  0.31928110E+00  0.48421174E-10  0.38909399E+00
  630.0000      0.00774969  0.32099521E+01  0.24120982E-03  0.81032821E+19  0.32245284E-07  0.41536764E+15  0.32665372E+00  0.47921834E-10  0.38921909E+00
  640.0000      0.00774969  0.31776718E+01  0.24221427E-03  0.81035733E+19  0.32124668E-07  0.42784930E+15  0.33415334E+00  0.47439917E-10  0.38934510E+00
  650.0000      0.00774969  0.31465603E+01  0.24310988E-03  0.81054226E+19  0.31991093E-07  0.44064110E+15  0.34178442E+00  0.46975448E-10  0.38947198E+00
  660.0000      0.00774969  0.31166199E+01  0.24389207E-03  0.81089388E+19  0.31843773E-07  0.45375758E+15  0.34955141E+00  0.46528465E-10  0.38959966E+00
  670.0000      0.00774969  0.30878539E+01  0.24455626E-03  0.81142341E+19  0.31681931E-07  0.46721388E+15  0.35745872E+00  0.46099013E-10  0.38972808E+00
  680.0000      0.00774969  0.30602660E+01  0.24509786E-03  0.81214245E+19  0.31504804E-07  0.48102561E+15  0.36551075E+00  0.45687149E-10  0.38985719E+00
  690.0000      0.00774969  0.30338603E+01  0.24551233E-03  0.81306291E+19  0.31311654E-07  0.49520888E+15  0.37371181E+00  0.45292935E-10  0.38998690E+00
  700.0000      0.00774969  0.30086415E+01  0.24579524E-03  0.81419699E+19  0.31101777E-07  0.50978027E+15  0.38206615E+00  0.44916439E-10  0.39011716E+00
  710.0000      0.00774969  0.29846143E+01  0.24594230E-03  0.81555716E+19  0.30874511E-07  0.52475676E+15  0.39057791E+00  0.44557734E-10  0.39024790E+00
  720.0000      0.00774969  0.29617837E+01  0.24594944E-03  0.81715610E+19  0.30629248E-07  0.54015574E+15  0.39925115E+00  0.44216892E-10  0.39037905E+00
  730.0000      0.00774969  0.29401546E+01  0.24581281E-03  0.81900669E+19  0.30365443E-07  0.55599493E+15  0.40808979E+00  0.43893988E-10  0.39051053E+00
  740.0000      0.00774969  0.29197318E+01  0.24552887E-03  0.82112197E+19  0.30082623E-07  0.57229236E+15  0.41709761E+00  0.43589093E-10  0.39064228E+00
  750.0000      0.00774969  0.29005199E+01  0.24509444E-03  0.82351504E+19  0.29780396E-07  0.58906633E+15  0.42627828E+00  0.43302277E-10  0.39077421E+00
  760.0000      0.00774969  0.28825232E+01  0.24450672E-03  0.82619910E+19  0.29458466E-07  0.60633535E+15  0.43563527E+00  0.43033601E-10  0.39090626E+00
  770.0000      0.00774969  0.28657453E+01  0.24376339E-03  0.82918733E+19  0.29116634E-07  0.62411809E+15  0.44517192E+00  0.42783122E-10  0.39103835E+00
  780.0000      0.00774969  0.28501895E+01  0.24286259E-03  0.83249289E+19  0.28754811E-07  0.64243335E+15  0.45489137E+00  0.42550887E-10  0.39117040E+00
  790.0000      0.00774969  0.28358582E+01  0.24180302E-03  0.83612885E+19  0.28373024E-07  0.66130003E+15  0.46479660E+00  0.42336932E-10  0.39130233E+00
  800.0000      0.00774969  0.28227530E+01  0.24058394E-03  0.84010814E+19  0.27971420E-07  0.68073701E+15  0.47489039E+00  0.42141283E-10  0.39143407E+00
  810.0000      0.00774969  0.28108747E+01  0.23920523E-03  0.84444350E+19  0.27550271E-07  0.70076317E+15  0.48517531E+00  0.41963950E-10  0.39156555E+00
  820.0000      0.00774969  0.28002230E+01  0.23766737E-03  0.84914745E+19  0.27109978E-07  0.72139732E+15  0.49565377E+00  0.41804930E-10  0.39169668E+00
  830.0000      0.00774969  0.27907967E+01  0.23597152E-03  0.85423222E+19  0.26651069E-07  0.74265813E+15  0.50632794E+00  0.41664203E-10  0.39182739E+00
