#    T [K]            N         DOS(Ef)           S             s/t               R_H        kappa0         c                 chi         Ef
  330.0000      0.00006458  0.78571065E-01  0.40870171E-03  0.94885496E+17  0.20499831E-05  0.10971766E+14  0.23735077E-01  0.11729987E-11  0.39697697E+00
  340.0000      0.00006458  0.82413372E-01  0.37112822E-03  0.10292687E+18  0.16685336E-05  0.12212371E+14  0.25557412E-01  0.12303610E-11  0.39724110E+00
  350.0000      0.00006458  0.87470460E-01  0.33251404E-03  0.11292391E+18  0.13155082E-05  0.13665483E+14  0.27663695E-01  0.13058590E-11  0.39748422E+00
  360.0000      0.00006458  0.93750744E-01  0.29468604E-03  0.12502271E+18  0.10079592E-05  0.15349052E+14  0.30060099E-01  0.13996183E-11  0.39770597E+00
  370.0000      0.00006458  0.10123609E+00  0.25903399E-03  0.13933247E+18  0.75317970E-06  0.17278212E+14  0.32746955E-01  0.15113680E-11  0.39790692E+00
  380.0000      0.00006458  0.10989067E+00  0.22641592E-03  0.15593396E+18  0.55039558E-06  0.19465983E+14  0.35720688E-01  0.16405735E-11  0.39808833E+00
  390.0000      0.00006458  0.11966930E+00  0.19721291E-03  0.17488900E+18  0.39387249E-06  0.21924042E+14  0.38975579E-01  0.17865601E-11  0.39825187E+00
  400.0000      0.00006458  0.13052372E+00  0.17145429E-03  0.19624862E+18  0.27579803E-06  0.24663373E+14  0.42505067E-01  0.19486072E-11  0.39839941E+00
  410.0000      0.00006458  0.14240655E+00  0.14894921E-03  0.22005881E+18  0.18823132E-06  0.27694720E+14  0.46302570E-01  0.21260077E-11  0.39853278E+00
  420.0000      0.00006458  0.15527344E+00  0.12939247E-03  0.24636419E+18  0.12411864E-06  0.31028862E+14  0.50361923E-01  0.23180994E-11  0.39865374E+00
  430.0000      0.00006458  0.16908391E+00  0.11243689E-03  0.27520985E+18  0.77655673E-07  0.34676753E+14  0.54677553E-01  0.25242778E-11  0.39876387E+00
